"報名","日期","版次","系統代碼","標題","廣告主","分類","品牌","影像URL"
"蘇州新報","1940-09-08","04","967049","猛力打淋淋病藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967049"
"社會日報","1940-09-09","2/3","583835","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583835"
"社會日報","1940-09-09","4","583829","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583829"
"社會日報","1940-09-09","4","583823","負責包愈白濁","大生醫院","中西藥業  ","大生醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583823"
"蘇州新報","1940-09-09","06","967204","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967204"
"蘇州新報","1940-09-09","03","967160","濕毒丹疥瘡藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967160"
"蘇州新報","1940-09-09","06","967215","補虛白帶丸藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967215"
"蘇州新報","1940-09-09","06","967211","國藥淋濁丸--羣濟大藥社發行",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967211"
"社會日報","1940-09-10","4","583850","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583850"
"社會日報","1940-09-10","4","583862","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583862"
"社會日報","1940-09-10","2/3","583855","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583855"
"蘇州新報","1940-09-10","06","967347","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967347"
"蘇州新報","1940-09-10","04","967317","五淋拿根治淋藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967317"
"社會日報","1940-09-11","2/3","583876","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583876"
"社會日報","1940-09-11","4","583870","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583870"
"社會日報","1940-09-11","4","583885","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583885"
"蘇州新報","1940-09-11","06","967486","補虛白帶丸藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967486"
"蘇州新報","1940-09-11","06","967482","國藥淋濁丸--羣濟大藥社發行",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967482"
"蘇州新報","1940-09-11","06","967479","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967479"
"社會日報","1940-09-12","2/3","583900","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583900"
"社會日報","1940-09-12","4","583898","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583898"
"社會日報","1940-09-12","4","583893","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583893"
"蘇州新報","1940-09-12","02","967527","濕毒丹疥瘡藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967527"
"蘇州新報","1940-09-12","06","967616","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967616"
"社會日報","1940-09-13","4","583930","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583930"
"社會日報","1940-09-13","2/3","583921","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583921"
"社會日報","1940-09-13","4","583915","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583915"
"蘇州新報","1940-09-13","01","967646","皮膚花柳科專門鍾介之醫師",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967646"
"蘇州新報","1940-09-13","06","967765","補虛白帶丸藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967765"
"蘇州新報","1940-09-13","02","967677","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967677"
"蘇州新報","1940-09-13","06","967761","國藥淋濁丸--羣濟大藥社發行",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967761"
"蘇州新報","1940-09-13","04","967712","利比兒淋病治療藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967712"
"社會日報","1940-09-14","2/3","583949","男用：專治男子白濁　女用：專治女子白帶","新星藥行","中西藥業  ","新樂的能  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583949"
